Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Bilingual,Highest education level completed,Literacy difficulties,Hobbies - categories,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status,Custom study tncs accepted at
65145a7455f3db130c8ddb01,5ad0c55ad9f7470001db0e09,APPROVED,2023-09-27T16:38:15.373000Z,2023-09-27T16:43:53.029000Z,2023-09-27T20:33:31.312000Z,2023-09-27T16:43:53.506737Z,338.0,CE2K9TTL,509,"English, Spanish",native language + one other language,Graduate degree (MA/MSc/MPhil/other),No,"Art, Music, Video Games",29,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time,
65145c98015bb5c8bdc2284c,6506fa790becc34ecf41acf2,APPROVED,2023-09-27T16:47:24.624000Z,2023-09-27T16:54:16.622000Z,2023-09-27T20:33:31.437000Z,2023-09-27T16:54:17.062285Z,412.0,CE2K9TTL,6,English,none just my native langauge,High school diploma/A-levels,No,"Art, Video Games, Psychology",26,Male,White,Australia,Canada,Australia,English,No,Due to start a new job within the next month,
65145d162cd8fe45b59bb384,60be1d159feabf1e66247dd0,APPROVED,2023-09-27T16:49:38.538000Z,2023-09-27T16:56:34.328000Z,2023-09-27T20:33:31.567000Z,2023-09-27T16:56:34.991827Z,416.0,CE2K9TTL,734,English,none just my native langauge,Undergraduate degree (BA/BSc/other),No,"Art, Travelling, Music",49,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time,
65145df04e9004280a340ccb,6468dbd1c121bc8fc017addb,APPROVED,2023-09-27T16:53:08.283000Z,2023-09-27T17:04:09.625000Z,2023-09-27T20:33:31.689000Z,2023-09-27T17:04:10.168887Z,662.0,CE2K9TTL,90,"English, Spanish",native language + one other language,Technical/community college,No,"Art, Music, Sports",26,Male,White,United States,Chile,United States,English,Yes,Part-Time,
65145e4ad70ecf1f13d31d4b,60bbf9e1cfcce5b0382bf9b1,APPROVED,2023-09-27T16:54:38.851000Z,2023-09-27T17:10:03.963000Z,2023-09-27T20:33:31.807000Z,2023-09-27T17:10:06.897990Z,926.0,CE2K9TTL,209,English,native language + one other language,Graduate degree (MA/MSc/MPhil/other),No,"Art, Travelling, Video Games",31,Male,Black,South Africa,South Africa,South Africa,English,No,Full-Time,
65145ef24eb18feca5abe2bb,62a35981f07eec138b14cb6e,APPROVED,2023-09-27T16:57:30.629000Z,2023-09-27T17:02:50.776000Z,2023-09-27T20:33:31.924000Z,2023-09-27T17:02:52.279057Z,321.0,CE2K9TTL,529,English,none just my native langauge,Undergraduate degree (BA/BSc/other),No,"Art, Literature, Music",40,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time,
65145f22ec8847443546cabb,587a1ae8127d7700018b1d0c,APPROVED,2023-09-27T16:58:18.190000Z,2023-09-27T17:04:49.839000Z,2023-09-27T20:33:32.049000Z,2023-09-27T17:04:50.782189Z,392.0,CE2K9TTL,675,English,none just my native langauge,Graduate degree (MA/MSc/MPhil/other),No,"Art, Mathematics, Music",52,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time,
65145f8d878bc6fcdcdca266,63f79c4cffb2e2a2ed84f060,APPROVED,2023-09-27T17:00:02.966000Z,2023-09-27T17:06:24.227000Z,2023-09-27T20:33:32.172000Z,2023-09-27T17:06:43.297878Z,382.0,CE2K9TTL,401,English,none just my native langauge,Graduate degree (MA/MSc/MPhil/other),No,"Art, Philosophy, Psychology",40,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Due to start a new job within the next month,
65145fc3033bcc052f4d4329,6062d9a64a615c167600319f,APPROVED,2023-09-27T17:00:57.417000Z,2023-09-27T17:07:24.088000Z,2023-09-27T20:33:32.288000Z,2023-09-27T17:07:32.585238Z,387.0,CE2K9TTL,442,English,none just my native langauge,Undergraduate degree (BA/BSc/other),Rather not say,"Art, Music, Travelling",32,Male,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Unemployed (and job seeking),
65145fea79d352ca319db89a,63d40bc79a1c6f835ab0d37b,APPROVED,2023-09-27T17:01:34.771000Z,2023-09-27T17:06:23.667000Z,2023-09-27T20:33:32.436000Z,2023-09-27T17:06:45.176915Z,289.0,CE2K9TTL,61,"English, Spanish",native language + one other language,High school diploma/A-levels,No,"Science, Music, Art",20,Male,Asian,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED,
