Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Colourblindness,Hobbies - categories,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
6276f8b7d2da991302bd4494,5fe36a68fd725a00113de0f1,APPROVED,Not Applicable,2022-05-07T22:54:48.819000Z,2022-05-07T23:20:28.574000Z,2022-05-09T15:27:23.843000Z,,1540.0,175F631D,187,"English, Portuguese, Spanish","Yes, I'm colourblind","Literature, Video Games, Travelling",32,Male,Mixed,Brazil,Spain,Spain,Portuguese,Yes,Full-Time
6276f8e8398a992f9c187d84,5b3d6a9ec2aa1000017781a0,APPROVED,Not Applicable,2022-05-07T22:55:36.228000Z,2022-05-07T23:22:32.639000Z,2022-05-09T15:27:23.976000Z,,1617.0,175F631D,1388,"Spanish, English","Yes, I'm colourblind","Mathematics, Sports, Music",68,Male,White,United Kingdom,Chile,United Kingdom,English,No,Full-Time
6276f922ce608833f61a1349,5ba0cc4dbabc5b00015e42f3,APPROVED,Not Applicable,2022-05-07T22:56:37.261000Z,2022-05-07T23:16:47.432000Z,2022-05-09T15:27:24.140000Z,,1211.0,175F631D,620,English,"Yes, I'm colourblind","Science, Music, Video Games",43,Male,White,Portugal,Portugal,Portugal,Portuguese,No,Full-Time
6276f945dd040db07adf8d18,59e790e2ac0af70001b36ad9,APPROVED,Not Applicable,2022-05-07T22:57:14.015000Z,2022-05-07T23:13:25.867000Z,2022-05-09T15:27:24.346000Z,,972.0,175F631D,713,"English, Italian","Yes, I'm colourblind","Sports, Health & Fitness, Video Games",33,Male,White,Italy,Italy,Italy,Italian,No,Full-Time
6276f9627019a0434b759c4e,59d9395703203500011acfcd,APPROVED,Not Applicable,2022-05-07T22:57:38.977000Z,2022-05-07T23:21:45.358000Z,2022-05-09T15:27:24.479000Z,,1447.0,175F631D,425,"English, Polish","Yes, I'm colourblind","Art, Video Games, Music",32,Female,White,Poland,Poland,Poland,Polish,No,Full-Time
6276f9a464a79f6a706add54,5c19b6e25ead950001bdb5a8,APPROVED,Not Applicable,2022-05-07T22:58:44.254000Z,2022-05-07T23:19:18.567000Z,2022-05-09T15:27:24.607000Z,,1235.0,175F631D,448,"Spanish, English","Yes, I'm colourblind","Literature, Science, Video Games",26,Male,Mixed,Mexico,Mexico,Mexico,Spanish,No,Part-Time
6276f9dfedf3651dbeeea3ec,5ff0c10d9bf07d463b719e0e,TIMED-OUT,Not Applicable,2022-05-07T23:04:19.699000Z,,,,61073989.0,,181,"English, Portuguese","Yes, I'm colourblind","Art, Music, Video Games",21,Male,White,Portugal,Portugal,Portugal,Portuguese,DATA_EXPIRED,DATA_EXPIRED
6276fad631aac522f1436022,5dfe7de0bf3d4eb1cc979a7a,RETURNED,Not Applicable,2022-05-07T23:03:50.250000Z,,,,,,418,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
6276fb1165d2a249658a3077,611e30b0e1ebed5af8580f67,APPROVED,Not Applicable,2022-05-07T23:04:58.160000Z,2022-05-07T23:19:57.949000Z,2022-05-09T15:27:24.787000Z,,900.0,175F631D,61,"English, Finnish, Afrikaans","Yes, I'm colourblind","Music, Travelling, Video Games",30,Female,White,South Africa,South Africa,South Africa,English,No,DATA_EXPIRED
6276fb55883ce10bde8d15c9,5d1aa8b2e1c05200018b570d,APPROVED,Not Applicable,2022-05-07T23:06:03.607000Z,2022-05-07T23:27:40.488000Z,2022-05-09T15:27:24.919000Z,,1297.0,175F631D,420,DATA_EXPIRED,DATA_EXPIRED,DATA_EXPIRED,DATA_EXPIRED,DATA_EXPIRED,DATA_EXPIRED,DATA_EXPIRED,DATA_EXPIRED,DATA_EXPIRED,DATA_EXPIRED,DATA_EXPIRED,DATA_EXPIRED
