Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status,Custom study tncs accepted at
641106268fae67d2bde00592,634afa5b289f73af3f29058e,APPROVED,2023-03-14T23:41:29.740000Z,2023-03-14T23:49:53.731000Z,2023-03-28T12:28:07.795000Z,2023-03-14T23:49:54.166669Z,504.0,CE2K9TTL,202,32,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time,
6411063db525f3e3536cb758,62ea814597e4669c86d1eb46,APPROVED,2023-03-14T23:41:50.665000Z,2023-03-14T23:50:10.195000Z,2023-03-28T12:28:07.920000Z,2023-03-14T23:50:11.449491Z,500.0,CE2K9TTL,209,28,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time,
641107c75986704258e71608,62fd65d2cb867728e4015273,APPROVED,2023-03-14T23:48:27.279000Z,2023-03-14T23:53:29.927000Z,2023-03-28T12:28:08.031000Z,2023-03-14T23:53:30.339811Z,303.0,CE2K9TTL,1161,42,Male,White,United States,United States,United States,English,No,Full-Time,
641107e7af408b39e61c8b22,5e1e26bc677d6f1913ec0111,APPROVED,2023-03-14T23:48:59.326000Z,2023-03-14T23:55:24.424000Z,2023-03-28T12:28:08.150000Z,2023-03-14T23:55:24.809158Z,386.0,CE2K9TTL,1430,56,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",
6411089d03a044c58ca950e5,610ec959239ea841804ebc88,APPROVED,2023-03-14T23:52:01.361000Z,2023-03-14T23:58:35.358000Z,2023-03-28T12:28:08.268000Z,2023-03-14T23:58:36.265113Z,394.0,CE2K9TTL,2167,42,Male,Asian,United States,United States,United States,English,No,Full-Time,
6411093801dbf30730022af5,6310eda535a15a7ca2e0cfbc,APPROVED,2023-03-14T23:54:40.453000Z,2023-03-15T00:02:55.328000Z,2023-03-28T12:28:08.382000Z,2023-03-15T00:05:21.882250Z,495.0,CE2K9TTL,419,41,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time,
641109a14e23f2a0265d5fe1,632361bf965e0257e6052357,APPROVED,2023-03-14T23:56:21.378000Z,2023-03-15T00:06:09.434000Z,2023-03-28T12:28:08.499000Z,2023-03-15T00:06:09.833273Z,589.0,CE2K9TTL,355,43,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time,
64110aa79e1a5eef1321735c,5ea057b821f4e400081b71a7,APPROVED,2023-03-15T00:00:50.869000Z,2023-03-15T00:13:16.892000Z,2023-03-28T12:28:08.606000Z,2023-03-15T00:13:17.259987Z,747.0,CE2K9TTL,1365,66,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Other,
64110ab9bea149a4ac59165b,5d2fea93e50c2f0017161771,APPROVED,2023-03-15T00:01:02.587000Z,2023-03-15T00:14:11.190000Z,2023-03-28T12:28:08.716000Z,2023-03-15T00:14:11.497007Z,789.0,CE2K9TTL,642,36,Male,White,United Kingdom,Australia,Australia,English,DATA_EXPIRED,Full-Time,
64110b2ecb31c095f15c491c,59df5d5a0fb3a90001bd932b,APPROVED,2023-03-15T00:02:57.718000Z,2023-03-15T00:09:41.243000Z,2023-03-28T12:28:08.828000Z,2023-03-15T00:09:41.607264Z,404.0,CE2K9TTL,1295,41,Male,White,Ireland,United Kingdom,United Kingdom,English,No,Full-Time,
64110b69fa0323a813aacb9b,5be2012f7227be0001e965ac,APPROVED,2023-03-15T00:04:04.852000Z,2023-03-15T00:22:27.992000Z,2023-03-28T12:28:08.939000Z,2023-03-15T00:22:28.388585Z,1104.0,CE2K9TTL,262,50,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time,
64110b6af63af18a3f7252fc,58ae2cb09e040a000139af76,APPROVED,2023-03-15T00:03:55.989000Z,2023-03-15T00:16:03.523000Z,2023-03-28T12:28:09.053000Z,2023-03-15T00:16:03.842131Z,728.0,CE2K9TTL,694,30,Male,Asian,Sri Lanka,United Kingdom,Sri Lanka,English,No,Full-Time,
64110d452e753aee5c2c9d64,60d3d69a45d9888cf9d8aed8,APPROVED,2023-03-15T00:12:24.534000Z,2023-03-15T00:18:32.523000Z,2023-03-28T12:28:09.168000Z,2023-03-15T00:18:35.960235Z,368.0,CE2K9TTL,602,22,Male,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Other,
64110fdcb2eefe6df175579f,5fbb744e561940c7a62432d5,APPROVED,2023-03-15T00:22:55.631000Z,2023-03-15T00:28:57.214000Z,2023-03-28T12:28:09.291000Z,2023-03-15T00:28:57.571202Z,362.0,CE2K9TTL,378,23,Male,White,United States,United States,United States,English,Yes,DATA_EXPIRED,
641110468f9e5f373975579f,62a3b97d41ae082b602e815b,APPROVED,2023-03-15T00:24:41.110000Z,2023-03-15T00:32:12.333000Z,2023-03-28T12:28:09.408000Z,2023-03-15T00:32:12.640618Z,452.0,CE2K9TTL,499,30,Male,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED,
6411111d979734a2f115b83c,616c4f1eacaf6dcc36160230,APPROVED,2023-03-15T00:28:18.111000Z,2023-03-15T00:38:07.536000Z,2023-03-28T12:28:09.517000Z,2023-03-15T00:38:07.882347Z,590.0,CE2K9TTL,3572,53,Male,White,United States,United States,United States,English,Yes,Full-Time,
6411166a639718f8a7e0059f,62a74fec726aac54b9e43d75,APPROVED,2023-03-15T00:50:53.364000Z,2023-03-15T01:20:42.746000Z,2023-03-28T12:28:09.630000Z,2023-03-15T01:20:43.114665Z,1790.0,CE2K9TTL,1489,64,Male,Mixed,United States,United States,United States,English,No,Full-Time,
641117123e8661be4415b847,5f6b8930b9d9530b1b065360,APPROVED,2023-03-15T00:53:42.232000Z,2023-03-15T00:59:33.631000Z,2023-03-28T12:28:09.749000Z,2023-03-15T00:59:33.984980Z,352.0,CE2K9TTL,2509,40,Male,White,United States,United States,United States,English,No,Full-Time,
6411198c2bf3f5a1931c8b27,5bb2677fd8afe200018d0afc,APPROVED,2023-03-15T01:04:16.858000Z,2023-03-15T01:12:36.283000Z,2023-03-28T12:28:09.858000Z,2023-03-15T01:12:36.631362Z,500.0,CE2K9TTL,1993,44,Male,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",
641119d7dc71a5119c5d5fd3,5f4c1e40b977c21142f78adc,APPROVED,2023-03-15T01:05:31.035000Z,2023-03-15T01:11:46.359000Z,2023-03-28T12:28:09.974000Z,2023-03-15T01:11:46.761595Z,376.0,CE2K9TTL,1713,34,Male,White,United States,United States,United States,English,No,Full-Time,
641119d9da224e8345a861bf,5fcfbee098277e12c671ee44,APPROVED,2023-03-15T01:05:32.966000Z,2023-03-15T01:11:51.501000Z,2023-03-28T12:28:10.095000Z,2023-03-15T01:11:51.827122Z,379.0,CE2K9TTL,1672,46,Male,White,United States,United States,United States,English,Yes,Part-Time,
64111bf946f5db282206ca46,6294ea611ee4f49421c6b905,APPROVED,2023-03-15T01:21:01.514000Z,2023-03-15T01:27:47.880000Z,2023-03-28T12:28:10.217000Z,2023-03-15T01:27:48.693525Z,407.0,CE2K9TTL,1731,36,Male,White,United States,United States,United States,English,No,Unemployed (and job seeking),
64111d9e9748bab654ee8ac1,610f326ceebada4236a67080,APPROVED,2023-03-15T01:21:38.296000Z,2023-03-15T01:33:02.327000Z,2023-03-28T12:28:10.338000Z,2023-03-15T01:33:02.722653Z,685.0,CE2K9TTL,3730,57,Male,White,United States,United States,United States,English,No,Full-Time,
6411203ddfbf8abdf9591663,5e65c5b41e30883349a25a61,APPROVED,2023-03-15T01:32:49.572000Z,2023-03-15T01:54:36.030000Z,2023-03-28T12:28:10.457000Z,2023-03-15T01:54:36.381206Z,1307.0,CE2K9TTL,1138,33,Male,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",
6411220ea50b338644b2cb53,5898b6e256357700011c2c6b,APPROVED,2023-03-15T01:40:34.121000Z,2023-03-15T01:45:36.674000Z,2023-03-28T12:28:10.577000Z,2023-03-15T01:45:37.685024Z,303.0,CE2K9TTL,5080,65,Male,White,United States,United States,United States,English,No,Full-Time,
641126721b46022fd74b6e99,60b1afe02374e9eb327e0672,APPROVED,2023-03-15T01:59:21.152000Z,2023-03-15T02:05:05.741000Z,2023-03-28T12:28:10.695000Z,2023-03-15T02:05:06.058690Z,345.0,CE2K9TTL,510,41,Male,White,New Zealand,Australia,New Zealand,English,No,Full-Time,
64112d9c8eb9003f34f6fa9b,5edac17d2a078217069a1cf7,APPROVED,2023-03-15T02:29:52.617000Z,2023-03-15T02:36:45.238000Z,2023-03-28T12:28:10.822000Z,2023-03-15T02:36:45.982095Z,413.0,CE2K9TTL,114,22,Male,White,Canada,Canada,Canada,English,Yes,Full-Time,
6411335017a4e08fffe71605,62ccc441a118b06a27cd5cdc,APPROVED,2023-03-15T02:54:12.559000Z,2023-03-15T03:23:43.811000Z,2023-03-28T12:28:10.939000Z,2023-03-15T03:23:44.169140Z,1772.0,CE2K9TTL,1529,30,Male,White,Russian Federation,United States,United States,English,No,Full-Time,
641134f456ef46fa442c9d74,6129d940b66000436442b65d,APPROVED,2023-03-15T03:01:13.100000Z,2023-03-15T03:08:56.600000Z,2023-03-28T12:28:11.058000Z,2023-03-15T03:08:56.977472Z,464.0,CE2K9TTL,307,26,Male,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",
6411354fcd2f61ae99a861bb,61171d2e65d32b9cb4cf1c54,APPROVED,2023-03-15T03:02:44.001000Z,2023-03-15T03:12:24.830000Z,2023-03-28T12:28:11.174000Z,2023-03-15T03:12:25.341889Z,581.0,CE2K9TTL,211,49,Male,White,Canada,Canada,Canada,English,No,Full-Time,
641137dcb3a1217b26d5eae7,6348341d10e40a7bbaf96ee1,APPROVED,2023-03-15T03:13:35.788000Z,2023-03-15T03:22:44.538000Z,2023-03-28T12:28:11.299000Z,2023-03-15T03:22:44.884195Z,549.0,CE2K9TTL,310,38,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time,
64113b7e2d40ee9d8203cd4e,6153e6428c54577a6f349b08,APPROVED,2023-03-15T03:29:07.839000Z,2023-03-15T03:38:57.167000Z,2023-03-28T12:28:11.417000Z,2023-03-15T03:38:57.566873Z,590.0,CE2K9TTL,207,54,Male,White,Canada,Canada,Canada,English,No,Full-Time,
64113cd0f1a89d45e3e005ac,639f9c5df69bccc14bb598b7,APPROVED,2023-03-15T03:34:45.677000Z,2023-03-15T03:48:15.443000Z,2023-03-28T12:28:11.539000Z,2023-03-15T03:48:15.838629Z,810.0,CE2K9TTL,552,52,Male,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",
641140a383e348d2b9f6fa94,5a0dbc9e9b760100013a7857,APPROVED,2023-03-15T03:51:06.729000Z,2023-03-15T04:04:41.110000Z,2023-03-28T12:28:11.651000Z,2023-03-15T04:04:51.307468Z,815.0,CE2K9TTL,1288,67,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",
6411435bada939315baacb92,60250e892b5c5727eeeef076,APPROVED,2023-03-15T04:02:42.542000Z,2023-03-15T04:20:46.040000Z,2023-03-28T12:28:11.772000Z,2023-03-15T04:20:46.758917Z,1084.0,CE2K9TTL,920,65,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",
6411487c8bf0d3845811b594,5ef16de326ae3076ed1a94c5,APPROVED,2023-03-15T04:24:31.455000Z,2023-03-15T04:33:23.338000Z,2023-03-28T12:28:11.888000Z,2023-03-15T04:33:23.719065Z,532.0,CE2K9TTL,418,35,Male,White,United States,United States,United States,English,No,Full-Time,
64114b92b0e8ac9b2cdf966d,5f064b48033a891afd38485f,APPROVED,2023-03-15T04:37:41.774000Z,2023-03-15T04:48:54.903000Z,2023-03-28T12:28:12.005000Z,2023-03-15T04:48:55.305382Z,674.0,CE2K9TTL,490,39,Male,Other,Canada,Canada,Canada,English,No,Full-Time,
64114cf50ad33a0f592e799d,5b681788ca518a0001c7a755,APPROVED,2023-03-15T04:43:33.252000Z,2023-03-15T04:50:01.540000Z,2023-03-28T12:28:12.124000Z,2023-03-15T04:50:01.941617Z,389.0,CE2K9TTL,689,48,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time,
6411522ac62190c4f1fe0bf4,62a0f99814d73df8032871a9,APPROVED,2023-03-15T05:05:54.943000Z,2023-03-15T05:14:57.719000Z,2023-03-28T12:28:12.245000Z,2023-03-15T05:14:58.206873Z,543.0,CE2K9TTL,206,51,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time,
641155cb1d2db2f3eb1c8afb,5a52961c76d1c60001aaafa7,APPROVED,2023-03-15T05:21:18.137000Z,2023-03-15T05:33:53.116000Z,2023-03-28T12:28:12.366000Z,2023-03-15T05:33:53.474453Z,755.0,CE2K9TTL,1249,43,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time,
641156009a62f1538559163b,62e84fc05d2ee856c53e341f,APPROVED,2023-03-15T05:22:10.702000Z,2023-03-15T05:27:04.639000Z,2023-03-28T12:28:12.479000Z,2023-03-15T05:27:05.009476Z,294.0,CE2K9TTL,900,32,Male,White,United States,United States,United States,English,No,Other,
