Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Highest education level completed,Literacy difficulties,Colourblindness,Hobbies - categories,Bilingual,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status,Custom study tncs accepted at
63502a03b5167af658e566f8,5e0f722ee8f8d1000cea475b,APPROVED,2022-10-19T16:47:02.089000Z,2022-10-19T17:00:29.279000Z,2022-10-19T17:00:29.757000Z,2022-10-19T17:00:29.693003Z,808.0,175F631D,373,English,Undergraduate degree (BA/BSc/other),No,"No, I have no issues seeing colours","Philosophy, Travelling, Music",none just my native langauge,40,Male,White,Canada,Mexico,Canada,English,Yes,Full-Time,
63502b1dd2fb82662d40978e,600c27a4685f792d0bca05ae,APPROVED,2022-10-19T16:53:09.565000Z,2022-10-19T17:18:19.372000Z,2022-10-19T17:18:19.829000Z,2022-10-19T17:18:19.755191Z,1510.0,175F631D,228,English,High school diploma/A-levels,No,"No, I have no issues seeing colours","Literature, Sports, Video Games",native language + one other language,24,Male,Black,South Africa,South Africa,South Africa,English,Yes,Other,
63502b1feb08cceeb729f25d,59102d52f601090001e80b82,APPROVED,2022-10-19T16:51:43.483000Z,2022-10-19T17:07:05.146000Z,2022-10-19T17:07:05.612000Z,2022-10-19T17:07:05.784866Z,922.0,175F631D,584,English,High school diploma/A-levels,No,"No, I have no issues seeing colours","Video Games, Psychology, Politics",none just my native langauge,25,Male,White,Canada,Canada,Canada,English,No,Full-Time,
63502ba1950fd88311a2faab,5e68691662358c10f5adb901,APPROVED,2022-10-19T16:53:53.622000Z,2022-10-19T17:14:21.436000Z,2022-10-19T17:14:22.037000Z,2022-10-19T17:14:21.974935Z,1228.0,175F631D,783,English,Undergraduate degree (BA/BSc/other),No,"No, I have no issues seeing colours","Art, Philosophy, Science",none just my native langauge,39,Male,White,Canada,Canada,Canada,English,No,Part-Time,
63502bc66924670dffd101dd,5e96ca27798a1e14b48ece30,APPROVED,2022-10-19T16:54:34.153000Z,2022-10-19T17:06:45.579000Z,2022-10-19T17:06:46.028000Z,2022-10-19T17:06:45.950015Z,732.0,175F631D,399,"English, Italian",Doctorate degree (PhD/other),No,"No, I have no issues seeing colours","Psychology, Music, Sports",native language + one other language,29,Male,White,Canada,Canada,Canada,English,Yes,Full-Time,
63502bee86aaa07bb8a2fa7a,607c300235ba5f14346f19bc,APPROVED,2022-10-19T16:55:10.967000Z,2022-10-19T17:23:38.789000Z,2022-10-19T17:23:39.162000Z,2022-10-19T17:23:39.085385Z,1708.0,175F631D,134,"English, Afrikaans",Undergraduate degree (BA/BSc/other),No,"No, I have no issues seeing colours","Travelling, Psychology, Science",none just my native langauge,55,Male,White,South Africa,South Africa,South Africa,English,No,Unemployed (and job seeking),
63502bf61a342b24549bb248,610dcc98b3679a8d2e6a2026,APPROVED,2022-10-19T16:55:22.160000Z,2022-10-19T17:14:17.243000Z,2022-10-19T17:14:22.663000Z,2022-10-19T17:14:17.592410Z,1136.0,175F631D,446,English,Undergraduate degree (BA/BSc/other),No,"No, I have no issues seeing colours","Art, Sociology, Science",none just my native langauge,40,Male,White,Canada,Canada,Canada,English,No,Part-Time,
63502bff6d560f9b748c2b3e,5fc3ce366a0a553fcaf30cd9,APPROVED,2022-10-19T16:55:27.279000Z,2022-10-19T17:11:38.020000Z,2022-10-19T17:11:38.402000Z,2022-10-19T17:11:38.332376Z,971.0,175F631D,297,"English, Spanish",High school diploma/A-levels,No,"No, I have no issues seeing colours","Mathematics, Video Games, Music",native language + one other language,20,Male,Asian,India,Chile,India,English,Yes,Unemployed (and job seeking),
63502c0f00fe1ea5398c2b3b,5f735114729a3b043fa6de0c,APPROVED,2022-10-19T16:55:43.001000Z,2022-10-19T17:14:16.626000Z,2022-10-19T17:14:17.376000Z,2022-10-19T17:14:17.295640Z,1114.0,175F631D,131,"Spanish, Polish, English, German",High school diploma/A-levels,Yes,"No, I have no issues seeing colours","Video Games, Sports, Marketing",native language + two other languages,24,Male,White,United Kingdom,Poland,United Kingdom,English,Yes,Full-Time,
63502c4ac7e3cf72e7533803,5f2dd719e81ec5111826e554,APPROVED,2022-10-19T16:56:45.939000Z,2022-10-19T17:10:24.174000Z,2022-10-19T17:10:24.597000Z,2022-10-19T17:10:24.531773Z,819.0,175F631D,174,English,Undergraduate degree (BA/BSc/other),No,"No, I have no issues seeing colours","Science, Psychology, Video Games",native language + one other language,23,Male,Asian,United Kingdom,United Kingdom,United Kingdom,English,Yes,Full-Time,
