Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status,Custom study tncs accepted at
6411028e7abf293cf771a306,5f4cc45ee974b18dbf4a503d,APPROVED,2023-03-14T23:26:06.229000Z,2023-03-14T23:34:06.356000Z,2023-03-28T10:12:02.397000Z,2023-03-14T23:34:06.772187Z,481.0,CE2K9TTL,527,35,Male,White,South Africa,South Africa,South Africa,English,No,Full-Time,
641102b2ae0b74fcce8f4c0b,63222311994c6e4c35bb2a55,APPROVED,2023-03-14T23:26:42.756000Z,2023-03-14T23:36:35.945000Z,2023-03-28T10:12:02.552000Z,2023-03-14T23:36:36.327425Z,594.0,CE2K9TTL,325,53,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time,
641103fd84cb892b5e8f4c19,5fc65eb000091528ea745f65,APPROVED,2023-03-14T23:32:13.479000Z,2023-03-14T23:39:20.888000Z,2023-03-28T10:12:02.693000Z,2023-03-14T23:39:21.265652Z,428.0,CE2K9TTL,198,20,Male,White,Poland,Poland,Poland,English,Yes,Other,
641104382ca9ba573aa861be,607ee7232fb723e021ea8bd5,APPROVED,2023-03-14T23:33:12.712000Z,2023-03-14T23:43:17.492000Z,2023-03-28T10:12:02.832000Z,2023-03-14T23:43:17.820300Z,605.0,CE2K9TTL,615,37,Male,White,Canada,Canada,Canada,English,No,DATA_EXPIRED,
6411046ae2db3e32defe0b91,5c7ceda01d2afc0001f4ad1d,APPROVED,2023-03-14T23:34:02.189000Z,2023-03-14T23:40:58.923000Z,2023-03-28T10:12:02.970000Z,2023-03-14T23:40:59.250866Z,417.0,CE2K9TTL,853,42,Male,White,Ireland,Ireland,Ireland,English,No,Part-Time,
64110504ca5a10caafc4f393,5b9fee11ed4db100015493dd,APPROVED,2023-03-14T23:43:08.440000Z,2023-03-14T23:56:38.970000Z,2023-03-28T10:12:03.102000Z,2023-03-14T23:56:40.511197Z,811.0,CE2K9TTL,1580,48,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",
641105111e3369f7348a8152,590203d0fb96b90001dddae0,APPROVED,2023-03-14T23:36:49.563000Z,2023-03-14T23:45:09.576000Z,2023-03-28T10:12:03.254000Z,2023-03-14T23:45:09.914573Z,501.0,CE2K9TTL,1443,41,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time,
64110511f823e17afee005c6,5f7c63ce425bd406179a22a5,APPROVED,2023-03-14T23:36:58.483000Z,2023-03-14T23:51:09.979000Z,2023-03-28T10:12:03.398000Z,2023-03-14T23:51:27.304329Z,852.0,CE2K9TTL,859,66,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",
641105147b1001654baacbb5,5f8394cdd4459c14c000697e,APPROVED,2023-03-14T23:36:55.652000Z,2023-03-14T23:42:11.394000Z,2023-03-28T10:12:03.537000Z,2023-03-14T23:42:11.732003Z,316.0,CE2K9TTL,611,34,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Other,
6411056a3b11699ecd85b5c7,62d6ad4f05c13b6b7f6612e8,APPROVED,2023-03-14T23:38:18.172000Z,2023-03-14T23:57:25.883000Z,2023-03-28T10:12:03.677000Z,2023-03-14T23:57:26.311934Z,1148.0,CE2K9TTL,344,26,Male,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Full-Time,
6411059d126133b5a721733b,62795033eec9c814d8caf988,APPROVED,2023-03-14T23:39:11.689000Z,2023-03-14T23:48:06.940000Z,2023-03-28T10:12:03.831000Z,2023-03-14T23:48:07.389828Z,536.0,CE2K9TTL,696,24,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time,
