Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Bilingual,Highest education level completed,Literacy difficulties,Colourblindness,Hobbies - categories,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status,Custom study tncs accepted at
6514935b32ef7eb83ebe99a3,60e87f56849a0832f5df0ce9,APPROVED,2023-09-27T20:41:04.694000Z,2023-09-27T20:46:00.812000Z,2023-09-28T17:02:40.756000Z,2023-09-27T20:46:02.018512Z,297.0,CE2K9TTL,607,"Dutch, English, French, Welsh",native language + three or more other languages,Undergraduate degree (BA/BSc/other),No,"No, I have no issues seeing colours","Literature, Mathematics, Philosophy",67,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",
6514937ceec8911ca8149274,6009606726f80266d809bf9a,APPROVED,2023-09-27T20:41:38.367000Z,2023-09-27T21:00:13.552000Z,2023-09-28T17:02:40.910000Z,2023-09-27T21:00:14.018079Z,1116.0,CE2K9TTL,385,English,native language + two other languages,Undergraduate degree (BA/BSc/other),No,"No, I have no issues seeing colours","Mathematics, Science, Travelling",24,Male,Black,Zimbabwe,South Africa,Zimbabwe,English,Yes,Unemployed (and job seeking),
651493bb85144f0cddaa093f,650459d313fd549d347f6644,APPROVED,2023-09-27T20:42:38.149000Z,2023-09-27T20:47:46.838000Z,2023-09-28T17:02:41.056000Z,2023-09-27T20:47:47.443658Z,309.0,CE2K9TTL,9,English,none just my native langauge,Undergraduate degree (BA/BSc/other),No,"No, I have no issues seeing colours","Sports, Video Games, Health & Fitness",23,Male,Asian,Canada,Canada,Philippines,English,Yes,Part-Time,
651494c551090c2d605f57bf,5f89a477464e42075b234f27,APPROVED,2023-09-27T20:47:03.984000Z,2023-09-27T20:51:07.339000Z,2023-09-28T17:02:41.220000Z,2023-09-27T20:51:07.823645Z,244.0,CE2K9TTL,41,English,none just my native langauge,Undergraduate degree (BA/BSc/other),No,"No, I have no issues seeing colours","Video Games, Travelling, Literature",39,Male,White,South Africa,United Kingdom,United Kingdom,English,No,Full-Time,
6514954244ea2583b7ca0ffd,5ca231bf6a488a00011ae9cb,APPROVED,2023-09-27T20:49:12.217000Z,2023-09-27T20:55:25.237000Z,2023-09-28T17:02:41.371000Z,2023-09-27T20:55:25.898461Z,374.0,CE2K9TTL,183,English,none just my native langauge,Undergraduate degree (BA/BSc/other),No,"No, I have no issues seeing colours","Economics, Health & Fitness, Sports",23,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time,
6514954c4582d56968f40be4,5d102402903d45000151ca7a,APPROVED,2023-09-27T20:49:24.478000Z,2023-09-27T20:55:17.769000Z,2023-09-28T17:02:41.519000Z,2023-09-27T20:55:18.332091Z,354.0,CE2K9TTL,435,English,none just my native langauge,Undergraduate degree (BA/BSc/other),No,"No, I have no issues seeing colours","Psychology, Science, Economics",62,Male,White,New Zealand,New Zealand,New Zealand,English,No,Full-Time,
65149555296184e37904116e,5b773e58a1c0710001a0ebad,APPROVED,2023-09-27T20:49:29.933000Z,2023-09-27T20:56:19.902000Z,2023-09-28T17:02:41.661000Z,2023-09-27T20:56:20.379019Z,410.0,CE2K9TTL,164,English,none just my native langauge,High school diploma/A-levels,No,"No, I have no issues seeing colours","Health & Fitness, Music, Video Games",35,Male,White,Canada,Canada,Canada,English,No,Unemployed (and job seeking),
651495a0aead5072a3c005f5,5e4761e624b17f2239a6473a,APPROVED,2023-09-27T20:50:45.097000Z,2023-09-27T20:56:13.926000Z,2023-09-28T17:02:41.875000Z,2023-09-27T20:56:17.780691Z,329.0,CE2K9TTL,716,English,none just my native langauge,Undergraduate degree (BA/BSc/other),No,"No, I have no issues seeing colours","Video Games, Art, Music",46,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time,
651495b6ce28f00d8e45ebd9,6053790f2babfba77b1cfebb,APPROVED,2023-09-27T20:51:07.237000Z,2023-09-27T20:58:27.175000Z,2023-09-28T17:02:42.069000Z,2023-09-27T20:58:27.610351Z,440.0,CE2K9TTL,835,English,none just my native langauge,Undergraduate degree (BA/BSc/other),No,"No, I have no issues seeing colours","Travelling, Art, Literature",69,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",
651495b9ce28f00d8e45ebda,6384cf522167536e362934dc,APPROVED,2023-09-27T20:51:07.698000Z,2023-09-27T20:57:22.686000Z,2023-09-28T17:02:42.271000Z,2023-09-27T20:57:23.153035Z,375.0,CE2K9TTL,218,English,none just my native langauge,Technical/community college,No,"No, I have no issues seeing colours","Video Games, Science, Music",29,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,DATA_EXPIRED,
651495ed38dacf19984e3f37,602ac80c6cf22516282a7fd3,APPROVED,2023-09-27T20:52:01.453000Z,2023-09-27T20:57:22.435000Z,2023-09-28T17:02:42.473000Z,2023-09-27T20:57:22.889091Z,321.0,CE2K9TTL,601,English,none just my native langauge,Doctorate degree (PhD/other),Yes,"No, I have no issues seeing colours","Economics, Health & Fitness, Science",33,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time,
651495eed422310d8f324a0d,5f21fe68039e0e45fabc19af,APPROVED,2023-09-27T20:52:01.550000Z,2023-09-27T20:59:40.865000Z,2023-09-28T17:02:42.663000Z,2023-09-27T20:59:44.074535Z,460.0,CE2K9TTL,687,English,none just my native langauge,Technical/community college,Rather not say,"No, I have no issues seeing colours","Sports, Video Games, Health & Fitness",35,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time,
65149601a42fe83e0872f570,5e17945970672a000c896b74,APPROVED,2023-09-27T20:52:20.241000Z,2023-09-27T21:03:00.921000Z,2023-09-28T17:02:42.868000Z,2023-09-27T21:03:01.398151Z,641.0,NOCODE,297,English,none just my native langauge,High school diploma/A-levels,Yes,"No, I have no issues seeing colours",Video Games,33,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,DATA_EXPIRED,
6514960f5baf3c3315caca9d,6158fd29d73dee366a6fb650,APPROVED,2023-09-27T20:52:34.492000Z,2023-09-27T21:21:19.406000Z,2023-09-28T17:02:43.071000Z,2023-09-27T21:21:19.873209Z,1725.0,CE2K9TTL,929,"English, German, Urdu",native language + two other languages,Graduate degree (MA/MSc/MPhil/other),No,"No, I have no issues seeing colours","Literature, Health & Fitness, Sports",45,Male,Asian,Pakistan,United Kingdom,Pakistan,English,DATA_EXPIRED,Full-Time,
6514961b6b2afdc839b26609,5ea06914c2b73202ae7a3f29,APPROVED,2023-09-27T20:52:51.094000Z,2023-09-27T21:01:15.467000Z,2023-09-28T17:02:43.264000Z,2023-09-27T21:01:15.962859Z,505.0,CE2K9TTL,1398,English,none just my native langauge,High school diploma/A-levels,No,"No, I have no issues seeing colours",Travelling,69,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",
65149627375c041f8cc56237,5f4b6e0114b99101ba69e5ae,APPROVED,2023-09-27T20:53:04.147000Z,2023-09-27T20:59:08.573000Z,2023-09-28T17:02:43.417000Z,2023-09-27T20:59:09.038694Z,365.0,CE2K9TTL,320,"English, Afrikaans",native language + one other language,Technical/community college,No,"No, I have no issues seeing colours","Video Games, Art, Music",26,Male,Other,South Africa,South Africa,South Africa,English,No,DATA_EXPIRED,
6514966617a909b783ec2823,5dbafd726775fe0f7de4e5f9,APPROVED,2023-09-27T20:54:00.937000Z,2023-09-27T21:06:10.667000Z,2023-09-28T17:02:43.560000Z,2023-09-27T21:06:11.574417Z,730.0,CE2K9TTL,671,English,none just my native langauge,Secondary education (e.g. GED/GCSE),No,"No, I have no issues seeing colours",Video Games,51,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",
