Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Total rejections,Approval rate,Gender,Fluent languages,Highest education level completed,Literacy difficulties,Colourblindness,Hobbies - categories,Bilingual,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status,Custom study tncs accepted at
632cd85bde1f9122e54afe84,5e8de9f7fa09a2051c079dc3,APPROVED,2022-09-22T21:49:21.860000Z,2022-09-22T22:00:06.679000Z,2022-10-13T00:00:32.280000Z,2022-09-22T22:00:07.020427Z,645.0,175F631D,145,2.0,99.0,Woman (including Trans Female/Trans Woman),English,Undergraduate degree (BA/BSc/other),Yes,"No, I have no issues seeing colours","Philosophy, Politics, Music",none just my native langauge,34,Female,White,Ireland,Ireland,Ireland,English,No,Unemployed (and job seeking),
632cd861a915629b39d28af3,5f086d061c03410654f5ec0c,APPROVED,2022-09-22T21:49:26.272000Z,2022-09-22T21:54:34.990000Z,2022-10-13T00:00:32.421000Z,2022-09-22T21:54:35.396224Z,309.0,175F631D,155,3.0,98.0,Woman (including Trans Female/Trans Woman),English,Technical/community college,No,"No, I have no issues seeing colours","Music, Travelling, Literature",none just my native langauge,38,Female,White,Ireland,Ireland,Ireland,English,DATA_EXPIRED,DATA_EXPIRED,
632cd87d82b5ea48b46775ef,5ebfe848f57bb9036deebc17,APPROVED,2022-09-22T21:49:53.840000Z,2022-09-22T21:55:44.972000Z,2022-10-13T00:00:32.549000Z,2022-09-22T21:55:45.337140Z,352.0,175F631D,380,4.0,98.0,Woman (including Trans Female/Trans Woman),English,Undergraduate degree (BA/BSc/other),No,"No, I have no issues seeing colours","Travelling, Economics",none just my native langauge,58,Female,White,Canada,Canada,Canada,English,No,Part-Time,
632cd87f886ff3491adcc678,598f31d452127f0001319885,APPROVED,2022-09-22T21:49:53.254000Z,2022-09-22T21:53:58.169000Z,2022-10-13T00:00:32.657000Z,2022-09-22T21:53:58.563999Z,245.0,NOCODE,48,0.0,100.0,Woman (including Trans Female/Trans Woman),English,Graduate degree (MA/MSc/MPhil/other),No,"No, I have no issues seeing colours","Sports, Travelling, Music",none just my native langauge,33,Female,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED,
632cd88ac1a13d308dbe28c5,5d8da90433afc60017fae3d3,APPROVED,2022-09-22T21:50:08.677000Z,2022-09-22T21:53:49.010000Z,2022-10-13T00:00:32.776000Z,2022-09-22T21:53:49.378711Z,221.0,175F631D,497,1.0,100.0,Woman (including Trans Female/Trans Woman),English,Graduate degree (MA/MSc/MPhil/other),No,"No, I have no issues seeing colours","Health & Fitness, Music",none just my native langauge,49,Female,White,Ireland,Ireland,Ireland,English,No,Part-Time,
632cd89e1615f99ee25b0243,59510862a65c420001e19e6d,APPROVED,2022-09-22T21:50:32.219000Z,2022-09-22T21:56:55.327000Z,2022-10-13T00:00:32.886000Z,2022-09-22T21:56:55.670586Z,384.0,NOCODE,60,0.0,100.0,Woman (including Trans Female/Trans Woman),English,Secondary education (e.g. GED/GCSE),No,"No, I have no issues seeing colours","Psychology, Science, Sociology",none just my native langauge,30,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",
632cd8c21f86960b790cd6f3,62e957e3add265b9e42af293,APPROVED,2022-09-22T21:51:01.724000Z,2022-09-22T21:59:37.832000Z,2022-10-13T00:00:33.021000Z,2022-09-22T21:59:38.175394Z,517.0,175F631D,23,0.0,100.0,Man (including Trans Male/Trans Man),English,Graduate degree (MA/MSc/MPhil/other),No,"No, I have no issues seeing colours","Health & Fitness, Video Games, Sports",none just my native langauge,26,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time,
632cd8cb81c56bc8a7415599,60f5bec02cfb37c409b94f3e,APPROVED,2022-09-22T21:51:11.093000Z,2022-09-22T21:54:51.673000Z,2022-10-13T00:00:33.371000Z,2022-09-22T21:54:52.110467Z,221.0,NOCODE,530,5.0,99.0,Woman (including Trans Female/Trans Woman),English,Undergraduate degree (BA/BSc/other),No,"No, I have no issues seeing colours","Travelling, Music, Psychology",none just my native langauge,47,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time,
632cd8d2ffed6929dbcd6695,60eb4444f2ff728c1df7ffc3,APPROVED,2022-09-22T21:51:18.018000Z,2022-09-22T22:02:05.343000Z,2022-10-13T00:00:33.471000Z,2022-09-22T22:02:05.759563Z,648.0,175F631D,407,2.0,100.0,Woman (including Trans Female/Trans Woman),English,Undergraduate degree (BA/BSc/other),No,"No, I have no issues seeing colours","Psychology, Sociology, Literature",none just my native langauge,69,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",
632cd8fd5088806d5e838903,5d28701c573e380001514923,APPROVED,2022-09-22T21:51:57.889000Z,2022-09-22T21:55:57.035000Z,2022-10-13T00:00:33.570000Z,2022-09-22T21:55:57.354831Z,240.0,175F631D,457,3.0,100.0,Man (including Trans Male/Trans Man),"Polish, English, Japanese",Graduate degree (MA/MSc/MPhil/other),No,"No, I have no issues seeing colours","Music, Literature, Video Games",native language + two other languages,34,Male,White,Poland,Poland,Poland,English,No,Part-Time,
