Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Highest education level completed,Literacy difficulties,Colourblindness,Hobbies - categories,Bilingual,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status,Custom study tncs accepted at
63502a6d09ae889550fbb7eb,63468c2501e33edb7ecf1907,APPROVED,2022-10-19T16:50:01.635000Z,2022-10-19T17:02:37.780000Z,2022-10-19T17:02:38.533000Z,2022-10-19T17:02:38.448341Z,757.0,175F631D,8,English,High school diploma/A-levels,No,"Yes, I'm colourblind","Music, Video Games, Art",none just my native langauge,18,Male,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Unemployed (and job seeking),
63502af7cb29760813e96227,5e37f48dfbcc9d75be926c70,APPROVED,2022-10-19T16:51:07.193000Z,2022-10-19T17:13:23.389000Z,2022-10-19T17:13:23.817000Z,2022-10-19T17:13:23.767313Z,1337.0,175F631D,114,English,Undergraduate degree (BA/BSc/other),No,"Yes, I'm colourblind","Art, Music, Philosophy",none just my native langauge,42,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time,
63502b167f70f65208873ee0,60250e892b5c5727eeeef076,APPROVED,2022-10-19T16:51:34.222000Z,2022-10-19T17:16:25.291000Z,2022-10-19T17:16:25.752000Z,2022-10-19T17:16:25.685665Z,1492.0,175F631D,664,English,Undergraduate degree (BA/BSc/other),No,"Yes, I'm colourblind","Science, Travelling, Art",none just my native langauge,64,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",
63502b328ffb926fda8bfe1c,5fe12f1a29db95b9ae5608a1,APPROVED,2022-10-19T16:52:02.076000Z,2022-10-19T17:02:52.070000Z,2022-10-19T17:02:52.667000Z,2022-10-19T17:02:52.579433Z,650.0,175F631D,196,"English, Polish, German",High school diploma/A-levels,Yes,"Yes, I'm colourblind","Science, Video Games, Mathematics",native language + two other languages,21,Male,Mixed,Poland,Poland,Poland,English,Yes,Unemployed (and job seeking),
63502b5bda4ce5b3e0873f03,601e865872774f2e266aeb2b,APPROVED,2022-10-19T16:52:45.877000Z,2022-10-19T17:04:14.552000Z,2022-10-19T17:04:15.043000Z,2022-10-19T17:04:14.970485Z,689.0,175F631D,127,English,Doctorate degree (PhD/other),Rather not say,"Yes, I'm colourblind","Psychology, Philosophy, Music",none just my native langauge,21,Male,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Part-Time,
63502b69fa6a193a0fa7b674,5d78d57c8f579d001518e74f,APPROVED,2022-10-19T16:52:57.219000Z,2022-10-19T17:02:32.219000Z,2022-10-19T17:02:32.677000Z,2022-10-19T17:02:32.580456Z,575.0,175F631D,965,English,Undergraduate degree (BA/BSc/other),No,"Yes, I'm colourblind","Marketing, Sports, Music",none just my native langauge,44,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time,
63502bd39442587d2da7b6c3,5a30078e1f4fab00014991ba,APPROVED,2022-10-19T16:54:43.439000Z,2022-10-19T17:16:05.769000Z,2022-10-19T17:16:06.240000Z,2022-10-19T17:16:06.176415Z,1283.0,175F631D,602,English,Undergraduate degree (BA/BSc/other),No,"Yes, I'm colourblind","Health & Fitness, Music, Sports",none just my native langauge,23,Male,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Other,
63502bea5274fc11891cafce,6346d0e43c8870c464698583,APPROVED,2022-10-19T16:55:11.416000Z,2022-10-19T17:13:21.175000Z,2022-10-19T17:13:21.657000Z,2022-10-19T17:13:21.599106Z,1090.0,175F631D,6,English,High school diploma/A-levels,No,"Yes, I'm colourblind","Sports, Video Games, Mathematics",none just my native langauge,19,Male,Asian,United Kingdom,United Kingdom,United Kingdom,English,No,DATA_EXPIRED,
63502c6f5e734690636eecb5,62c48a4bced656f3b4f3dbe6,APPROVED,2022-10-19T16:57:22.040000Z,2022-10-19T17:17:26.267000Z,2022-10-19T17:17:26.677000Z,2022-10-19T17:17:26.596384Z,1205.0,175F631D,141,English,Undergraduate degree (BA/BSc/other),No,"Yes, I'm colourblind","Science, Video Games, Health & Fitness",none just my native langauge,31,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time,
63502c72ef0269eac49bb283,5f6912baefd1c50f7f3b83f7,APPROVED,2022-10-19T16:57:27.239000Z,2022-10-19T17:08:29.786000Z,2022-10-19T17:08:30.260000Z,2022-10-19T17:08:30.185122Z,663.0,175F631D,276,English,Undergraduate degree (BA/BSc/other),No,"Yes, I'm colourblind","Philosophy, Politics, Sports",none just my native langauge,27,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Unemployed (and job seeking),
