Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Bilingual,Highest education level completed,Literacy difficulties,Colourblindness,Hobbies - categories,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status,Custom study tncs accepted at
6514939ad33a6b8b73e8f528,63cefcdc3f87b5a8b88eba2f,APPROVED,2023-09-27T20:43:36.980000Z,2023-09-27T20:51:38.768000Z,2023-10-02T16:46:52.257000Z,2023-09-27T20:51:39.214205Z,482.0,CE2K9TTL,80,English,none just my native langauge,Undergraduate degree (BA/BSc/other),No,"Yes, I'm colourblind","Politics, Sports, Health & Fitness",25,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,DATA_EXPIRED,
651494ac415b0cb1cda783df,63e51c2e943e72306dfa8cdc,APPROVED,2023-09-27T20:46:40.356000Z,2023-09-27T20:54:21.991000Z,2023-10-02T16:46:52.450000Z,2023-09-27T20:54:22.487495Z,462.0,CE2K9TTL,273,"English, French",native language + one other language,Undergraduate degree (BA/BSc/other),No,"Yes, I'm colourblind","Art, Health & Fitness",24,Male,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Unemployed (and job seeking),
65149868592540374f45ebdb,63dd37970407f565167e5361,APPROVED,2023-09-27T21:02:40.143000Z,2023-09-27T21:08:08.848000Z,2023-10-02T16:46:52.649000Z,2023-09-27T21:08:35.327728Z,329.0,CE2K9TTL,361,English,none just my native langauge,Secondary education (e.g. GED/GCSE),Yes,"Yes, I'm colourblind","Sports, Video Games, Psychology",19,Male,Mixed,United Kingdom,United Kingdom,United Kingdom,English,Yes,Unemployed (and job seeking),
651498ab26d27d7dd8ca0ffc,63d79eee3050f200940fd28d,APPROVED,2023-09-27T21:03:52.328000Z,2023-09-27T21:12:15.911000Z,2023-10-02T16:46:52.844000Z,2023-09-27T21:12:16.382221Z,504.0,CE2K9TTL,428,English,none just my native langauge,High school diploma/A-levels,No,"Yes, I'm colourblind","Travelling, Sports, Music",46,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time,
651499c43ebe8e29839075ed,6287cd51ee7abcc38dc156f2,APPROVED,2023-09-27T21:08:25.789000Z,2023-09-27T21:14:32.666000Z,2023-10-02T16:46:53.020000Z,2023-09-27T21:14:33.373350Z,367.0,CE2K9TTL,80,English,none just my native langauge,Graduate degree (MA/MSc/MPhil/other),No,"Yes, I'm colourblind","Entrepreneurship, Sports, Travelling",32,Male,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Full-Time,
65149ac604536dd6c20855b1,644150ada063f0646fa94580,APPROVED,2023-09-27T21:12:42.049000Z,2023-09-27T21:19:01.488000Z,2023-10-02T16:46:53.194000Z,2023-09-27T21:19:01.926033Z,380.0,CE2K9TTL,343,English,none just my native langauge,Undergraduate degree (BA/BSc/other),No,"Yes, I'm colourblind","Video Games, Music, Health & Fitness",23,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Unemployed (and job seeking),
65149b3a1abaa3a5a64a0005,63d3fb4fd3c313dca0920312,APPROVED,2023-09-27T21:14:40.483000Z,2023-09-27T21:23:07.011000Z,2023-10-02T16:46:53.371000Z,2023-09-27T21:23:07.534131Z,507.0,CE2K9TTL,363,English,none just my native langauge,Undergraduate degree (BA/BSc/other),No,"Yes, I'm colourblind","Health & Fitness, Politics, Sports",34,Male,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED,
65149bfa31d3db6ef1b26609,5c288e65867f660001ae8f36,APPROVED,2023-09-27T21:17:49.686000Z,2023-09-27T21:24:10.770000Z,2023-10-02T16:46:53.549000Z,2023-09-27T21:24:11.230923Z,382.0,CE2K9TTL,484,English,none just my native langauge,Secondary education (e.g. GED/GCSE),No,"Yes, I'm colourblind","Music, Sports, Travelling",32,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time,
65149c70b1b895e6fc6ee88c,63d4315d46c8643186d488f7,APPROVED,2023-09-27T21:19:47.398000Z,2023-09-27T21:26:44.842000Z,2023-10-02T16:46:53.744000Z,2023-09-27T21:26:45.403150Z,418.0,CE2K9TTL,394,English,none just my native langauge,Technical/community college,No,"Yes, I'm colourblind","Health & Fitness, Science, Video Games",41,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",
65149d902fdae1acb613b258,6509ad3e10014974dfe2f77c,APPROVED,2023-09-27T21:24:37.306000Z,2023-09-27T21:33:44.564000Z,2023-10-02T16:46:53.936000Z,2023-09-27T21:33:45.359981Z,548.0,CE2K9TTL,9,English,none just my native langauge,High school diploma/A-levels,No,"Yes, I'm colourblind","Economics, Video Games, Sports",36,Male,White,Canada,Canada,Canada,English,No,Full-Time,
