Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Colourblindness,Hobbies - categories,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
6276f7c39a6721e056e56cf4,5f4c4d1d7555cc86e624d407,RETURNED,Not Applicable,2022-05-07T22:50:43.002000Z,,,,,,85,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
6276f7c8db42d727de775769,5c3f9742773a160001349a7a,APPROVED,Not Applicable,2022-05-07T22:50:48.115000Z,2022-05-07T22:59:43.061000Z,2022-05-09T15:28:14.744000Z,,535.0,175F631D,150,"Estonian, English","No, I have no issues seeing colours","Marketing, Sports, Video Games",26,Male,White,Estonia,Estonia,Estonia,Estonian,DATA_EXPIRED,DATA_EXPIRED
6276f7caa57511b74d26f96b,6150d33bfdccaade35fa298a,APPROVED,Not Applicable,2022-05-07T22:50:50.607000Z,2022-05-07T23:29:28.670000Z,2022-05-09T15:28:14.847000Z,,2319.0,175F631D,136,"English, Spanish","No, I have no issues seeing colours","Entrepreneurship, Video Games, Health & Fitness",28,Male,White,Mexico,Mexico,Mexico,Spanish,DATA_EXPIRED,DATA_EXPIRED
6276f7d031af715e2c042b2e,5f4f90e8fd3fc1050de20053,APPROVED,Not Applicable,2022-05-07T22:50:56.431000Z,2022-05-07T23:04:59.910000Z,2022-05-09T15:28:14.956000Z,,844.0,175F631D,88,"English, Hungarian","No, I have no issues seeing colours","Science, Video Games, Philosophy",26,Male,White,Hungary,Hungary,Hungary,Hungarian,No,Full-Time
6276f7d8a4b566a46913c185,6005e777d1d8768d5808b5fd,APPROVED,Not Applicable,2022-05-07T22:51:04.275000Z,2022-05-07T23:15:33.776000Z,2022-05-09T15:28:15.125000Z,,1470.0,175F631D,238,"English, Polish","No, I have no issues seeing colours","Mathematics, Science, Video Games",23,Male,White,Poland,Poland,Poland,Polish,DATA_EXPIRED,DATA_EXPIRED
6276f7d93af4d7b38351abf4,5eea0182104faf000a1c2f57,APPROVED,Not Applicable,2022-05-07T22:51:05.857000Z,2022-05-07T23:14:03.359000Z,2022-05-09T15:28:15.243000Z,,1378.0,175F631D,188,"English, Polish","No, I have no issues seeing colours","Literature, Science, Health & Fitness",24,Female,White,Poland,Poland,Poland,Polish,DATA_EXPIRED,DATA_EXPIRED
6276f7d9a5026d90a0a5d895,5c1542a9caaaa50001b6e0e0,APPROVED,Not Applicable,2022-05-07T22:51:05.395000Z,2022-05-07T23:25:39.796000Z,2022-05-09T15:28:15.352000Z,,2075.0,175F631D,269,"English, Greek","No, I have no issues seeing colours","Politics, Health & Fitness, Philosophy",35,Male,White,Greece,Greece,Greece,Greek,DATA_EXPIRED,DATA_EXPIRED
6276f7da421371624601ce35,61028f3aebce0a1f0d72420e,APPROVED,Not Applicable,2022-05-07T22:51:06.164000Z,2022-05-07T23:23:55.437000Z,2022-05-09T15:28:15.468000Z,,1970.0,175F631D,71,"Arabic, English","No, I have no issues seeing colours","Music, Literature, Video Games",29,Male,Other,Jordan,Jordan,Jordan,Arabic,DATA_EXPIRED,DATA_EXPIRED
6276f7e087356b8593e13e4e,605cfe0825d0e0494ad7dc58,TIMED-OUT,Not Applicable,2022-05-07T22:51:14.358000Z,,,,61074691.0,,335,"English, French, Galician, Portuguese","No, I have no issues seeing colours","Art, Music, Marketing",23,Male,White,Portugal,Portugal,Portugal,Portuguese,Yes,Due to start a new job within the next month
6276f7e7a7b0dab9fc8516d9,6147c21c933739516362d0ee,APPROVED,Not Applicable,2022-05-07T22:51:28.313000Z,2022-05-07T23:20:16.914000Z,2022-05-09T15:28:15.679000Z,,1729.0,175F631D,120,"English, Portuguese","No, I have no issues seeing colours","Entrepreneurship, Science, Psychology",33,Female,White,Portugal,Portugal,Portugal,Portuguese,No,DATA_EXPIRED
6276f7ec253a1e9bdcb4e889,604055c26be513259eced8fd,TIMED-OUT,Not Applicable,2022-05-07T22:51:24.650000Z,,,,61074682.0,,316,"English, Twi","No, I have no issues seeing colours","Literature, Politics, Philosophy",23,Female,Black,United Kingdom,United Kingdom,United Kingdom,English,Yes,Other
6276f7f03a9550d1155074bd,613a50aa648466f836cb696f,APPROVED,Not Applicable,2022-05-07T22:51:37.412000Z,2022-05-07T23:21:56.064000Z,2022-05-09T15:28:15.872000Z,,1819.0,175F631D,153,"English, Spanish, French","No, I have no issues seeing colours","Literature, Travelling, Marketing",22,Female,Mixed,Mexico,Mexico,Mexico,Spanish,DATA_EXPIRED,DATA_EXPIRED
6276f7f585f9d72c92001fac,607f85f6c1ea0861504ac890,APPROVED,Not Applicable,2022-05-07T22:51:33.767000Z,2022-05-07T23:22:50.949000Z,2022-05-09T15:28:16.014000Z,,1878.0,175F631D,246,"English, Spanish","No, I have no issues seeing colours","Literature, Music, Video Games",24,Female,Other,Chile,Chile,Chile,Spanish,Yes,Part-Time
6276f7f78604b248d473ed2e,60bb89b26ad33c84c19129f1,APPROVED,Not Applicable,2022-05-07T22:51:47.409000Z,2022-05-07T23:17:31.924000Z,2022-05-09T15:28:16.207000Z,,1545.0,175F631D,161,English,"No, I have no issues seeing colours","Art, Psychology, Entrepreneurship",22,Female,Black,South Africa,South Africa,South Africa,English,No,Unemployed (and job seeking)
6276f7fa373afb4c7e98800f,6074d977204f29f79a6ac911,APPROVED,Not Applicable,2022-05-07T22:51:38.839000Z,2022-05-07T23:07:57.641000Z,2022-05-09T15:28:16.465000Z,,979.0,175F631D,134,"English, Portuguese","No, I have no issues seeing colours","Art, Music, Sports",23,Male,White,Portugal,Portugal,Portugal,Portuguese,DATA_EXPIRED,DATA_EXPIRED
6276f7fb2fd6851219acf7e5,5fb18a985cb2bb67f3b1ac9c,APPROVED,Not Applicable,2022-05-07T22:51:39.281000Z,2022-05-07T23:06:37.778000Z,2022-05-09T15:28:16.623000Z,,899.0,175F631D,296,"English, Polish","No, I have no issues seeing colours","Art, Literature, Sociology",22,Female,White,Poland,Poland,Poland,Polish,DATA_EXPIRED,Part-Time
6276f802d12d743034fa9fc8,613a4662d21e1715cc079587,APPROVED,Not Applicable,2022-05-07T22:51:49.927000Z,2022-05-07T23:10:48.595000Z,2022-05-09T15:28:16.723000Z,,1139.0,175F631D,85,"English, Spanish","No, I have no issues seeing colours","Video Games, Travelling, Music",24,Male,Mixed,Mexico,Mexico,Mexico,English,DATA_EXPIRED,DATA_EXPIRED
6276f80574a76a01a5d56a1f,613d54e0d386dced808141e4,APPROVED,Not Applicable,2022-05-07T22:51:59.415000Z,2022-05-07T23:11:39.782000Z,2022-05-09T15:28:16.824000Z,,1181.0,175F631D,171,"Spanish, English","No, I have no issues seeing colours","Health & Fitness, Art, Marketing",26,Female,White,Mexico,Mexico,Mexico,Spanish,Yes,Part-Time
6276f80580ea0f0b9f096c6b,5f296bdd68d6c205b3ad89c4,APPROVED,Not Applicable,2022-05-07T22:51:49.271000Z,2022-05-07T23:07:36.465000Z,2022-05-09T15:28:16.927000Z,,948.0,175F631D,221,"Portuguese, Spanish, English","No, I have no issues seeing colours","Philosophy, Psychology, Science",32,Male,White,Portugal,Portugal,Portugal,Portuguese,DATA_EXPIRED,DATA_EXPIRED
6276f806c8436b6790dc602b,60fd5bc629663dec819d54e3,APPROVED,Not Applicable,2022-05-07T22:51:50.707000Z,2022-05-07T23:13:49.144000Z,2022-05-09T15:28:17.074000Z,,1319.0,175F631D,294,"English, Portuguese",DATA_EXPIRED,Video Games,24,Male,White,Portugal,Portugal,Portugal,Portuguese,DATA_EXPIRED,DATA_EXPIRED
